"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location of death","Information Source",Coordinates,"Migrantion route",URL,"UNSD Geographical Grouping","Source Quality"
2022.MMP00014,2022.MMP00014,Europe,"Fri, 01/14/2022 - 12:00",2022,January,1,,1,30,,1,,Drowning,"English Channel off the coast of Berck-sur-Mer, France","BBC, Express, MailPlus","50.47936679, 1.427167767","English Channel to the UK","https://archive.ph/GvCSf, https://archive.ph/58XhB, https://archive.ph/vMhGX",Uncategorized,3
2022.MMP00015,2022.MMP00015,"North America","Wed, 01/12/2022 - 12:00",2022,January,1,,1,,,1,,"Sickness / lack of access to adequate healthcare","Died in USBP custody hours after being apprehended in an industrial area west of the Otay Mesa Port of Entry, San Diego County, California, USA","US Border Patrol","32.550487, -116.938188","US-Mexico border crossing",https://archive.ph/11CEi,"Northern America",5
2022.MMP00016,2022.MMP00016,"Western Asia","Sun, 01/16/2022 - 12:00",2022,January,2,,2,,1,1,,"Harsh environmental conditions / lack of adequate shelter, food, water","Near Yamanyurt, Saray, Van province, Turkey","Rudaw, Duvar","38.545505, 44.294908","Iran to Turkey","https://archive.ph/iHvJG, https://archive.ph/ePALg","Western Asia",3
2022.MMP00017,2022.MMP00017,"Northern Africa","Sun, 01/16/2022 - 12:00",2022,January,2,41,43,10,13,,3,Drowning,"7 nautical miles off the coast of Tarfaya, Morocco - boat departed from Tan-Tan, Morocco. Location of rescue 28.17529426243148, -12.431666702730718","Caminando Fronteras, Alarm Phone","28.17529426, -12.4316667","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/m3OYq, https://archive.ph/GNb3C, https://www.facebook.com/helena.malenogarzon/posts/5069956463036630, https://archive.vn/J7Vk2",Uncategorized,4
2022.MMP00018,2022.MMP00018,"Northern Africa","Sun, 01/16/2022 - 12:00",2022,January,1,,1,,,1,1,Drowning,"Remains found floating near Playa de La Cueva, near Punta de la Jaqueta, off the coast of Tuineje and Antigua, Fuerteventura, Canary Islands, Spain","Diario de Avisos, Diario de Fuerteventura","28.302633, -13.90153","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/cGvc7, https://archive.ph/rAurb",Uncategorized,3
2022.MMP00019,2022.MMP00019,"Northern Africa","Mon, 01/17/2022 - 12:00",2022,January,1,,1,,1,,1,Drowning,"Remains found floating off the coast of Gran Valle, Antigua, Fuerteventura, Canary Islands, Spain","Onda Fuenteventura, Diario de Fuerteventura","28.248654, -13.904369","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/qxPqu, https://archive.ph/rAurb",Uncategorized,3
2022.MMP00020,2022.MMP00020,"Central America","Tue, 01/18/2022 - 12:00",2022,January,1,,1,,1,,1,Drowning,"Rio Grande near Granjas del Valle, Ciudad Acuña, Coahuila, Mexico","Instituto Nacional de Migración de México","29.34628, -100.947699","US-Mexico border crossing",https://archive.ph/dpbE9,Uncategorized,5
2022.MMP00021,2022.MMP00021,Mediterranean,"Mon, 01/17/2022 - 12:00",2022,January,2,,2,,,2,,"Mixed or unknown","Remains found on Playa de Las Verdas, Benalmádena, Málaga, Spain","Diario Sur, Málaga Hoy, El Pais","36.583558, -4.533957","Western Mediterranean","https://archive.ph/GqNlX, https://archive.ph/Xp6Bp, https://archive.ph/Vvxxp",Uncategorized,3
2022.MMP00022,2022.MMP00022,Mediterranean,"Mon, 01/10/2022 - 12:00",2022,January,1,,1,,,,,Drowning,"Remains found near Talmita, Libya","IOM Libya","32.719825, 20.947388","Central Mediterranean",,Uncategorized,4
2022.MMP00023,2022.MMP00023,Mediterranean,"Tue, 01/18/2022 - 12:00",2022,January,1,,1,9,,1,,Drowning,"Off the coast of Carboneras, Almería, Spain","Europa Press, Andalucía Información","36.972379, -1.78863","Western Mediterranean","https://archive.ph/ukMRu, https://archive.ph/vnrSb",Uncategorized,3
2022.MMP00024,2022.MMP00024,Mediterranean,"Wed, 01/19/2022 - 12:00",2022,January,,1,1,,,,,Drowning,"Unspecified location between Libya and Italy - went missing after jumping in desperation into the water to avoid interception by the Libyan Coast Guard","Civil Fleet, MV Louise-Michel rescue ship","33.535533, 13.618488","Central Mediterranean","https://archive.ph/vdcBs, https://archive.ph/8HReb",Uncategorized,4
2022.MMP00025,2022.MMP00025,"North America","Fri, 01/07/2022 - 12:00",2022,January,1,,1,,,1,,Drowning,"Near US Border Patrol Eagle Pass South Station, Eagle Pass, Maverick County, Texas, USA","US Border Patrol, K911 Noticias, La Voz, Michelle Rivera Digital","28.6739324, -100.4644414","US-Mexico border crossing","https://archive.ph/ZBKdX, https://archive.ph/lvDsw, https://archive.ph/ApCGA, https://archive.ph/pGhvi","Northern America",5
2022.MMP00026,2022.MMP00026,"South America","Mon, 01/10/2022 - 12:00",2022,January,1,,1,,,1,,Violence,"Río Paraná, Capitán Meza, Itapúa, Paraguay-Argentina border","Hoy Paraguay, La Voz de Misiones, ABC Paraguay","-26.94029127, -55.23607685",,"https://archive.ph/Eqczy, https://archive.ph/ysXzK, https://archive.ph/GvwAW","South America",3
2022.MMP00027,2022.MMP00027,Mediterranean,"Thu, 01/20/2022 - 12:00",2022,January,1,10,11,21,,,,Drowning,"Off Kerkennah Islands, Tunisia - embarkation from Al-Maharas, Sfax, Tunisia","Garde Nationale, Kapitalis","34.73743832, 11.14155354","Central Mediterranean","https://archive.vn/JvqWC, https://archive.vn/AnS22",Uncategorized,5
2022.MMP00028,2022.MMP0002830,Mediterranean,"Fri, 01/21/2022 - 12:00",2022,January,3,,3,36,,3,,Drowning,"Off Al Harsha, Libya","IOM Libya","32.78779605, 12.67827792","Central Mediterranean",,Uncategorized,4
2022.MMP00028,2022.MMP0002831,Mediterranean,"Fri, 01/21/2022 - 12:00",2022,January,1,,1,,,1,,Drowning,"Off Al Harsha, Libya","IOM Libya","32.78779605, 12.67827792","Central Mediterranean",,Uncategorized,4
2022.MMP00029,2022.MMP0002932,Europe,"Wed, 01/12/2022 - 12:00",2022,January,1,,1,,,1,,Drowning,"Drowned while crossing a stream near the village of Lagkadi, Serres, Central Macedonia, Greece","Naftemporiki, Star.gr","40.882262, 23.523767",,"https://archive.ph/b7IbP, https://archive.ph/r4mqA","Southern Europe",3
2022.MMP00029,2022.MMP0002933,Europe,"Thu, 01/13/2022 - 12:00",2022,January,1,,1,,1,,,Drowning,"Drowned while crossing a stream near the village of Lagkadi, Serres, Central Macedonia, Greece","Naftemporiki, Star.gr","40.882262, 23.523767",,"https://archive.ph/zFIzN, https://archive.ph/r4mqA","Southern Europe",3
2022.MMP00031,2022.MMP00031,"South-eastern Asia","Mon, 01/17/2022 - 12:00",2022,January,6,,6,5,6,,,Drowning,"4.2 nautical miles off Pontian, Malaysia","Malay Mail, (AFP via) Malaysia Now, Bernama","1.46452294, 103.3222483",,"https://archive.vn/PdePQ, https://archive.ph/6tvGy, https://archive.ph/7Xnze","South-eastern Asia",3
2022.MMP00032,2022.MMP00032,"South-eastern Asia","Thu, 01/20/2022 - 12:00",2022,January,1,6,7,19,2,,,Drowning,"Off the coast of Teluk Ramunia, Pengerang, Malaysia","The Star, Bernama via New Strait Times, The Malaysian Insight, Bernama (updated) via the Malaysian Reserve","1.367916366, 104.2465645",,"https://archive.ph/TPSrD, https://archive.ph/3XLud, https://archive.ph/9ChpF, https://themalaysianreserve.com/2022/01/20/five-found-drowned-three-still-missing-in-capsized-boat-incident-at-teluk-ramunia/?__cf_chl_jschl_tk__=L1YD4QUJZFOXobDcB7xo0wRCL5aKROXqu5IwZm.wFk8-1643033952-0-gaNycGzNCP0","South-eastern Asia",3
2022.MMP00034,2022.MMP00034,"South America","Thu, 01/13/2022 - 12:00",2022,January,1,,1,,,1,,"Mixed or unknown","Near Colchane Commune, Colchane, Tarapacá Region, Chile","MegaNoticias Chile, Publimetro Chile","-19.27447178, -68.63426317",,"https://archive.ph/Wu8Hj, https://archive.ph/bo7Vn","South America",3
2022.MMP00035,2022.MMP00035,"North America","Wed, 01/12/2022 - 12:00",2022,January,1,,1,,,1,,"Mixed or unknown","US Border Patrol Checkpoint in Otay Mesa, San Diego County, California, USA","US Border Patrol, Telemundo Noticias, Noticias Ya, El Imparcial","32.5488045, -117.0228877","US-Mexico border crossing","https://archive.ph/dbISp, https://archive.ph/MvJsm, https://archive.ph/l8s6F, https://archive.ph/11CEi","Northern America",5
2022.MMP00036,2022.MMP00036,"Central America","Tue, 01/18/2022 - 12:00",2022,January,1,,1,,1,,1,Drowning,"Rio Bravo, near Granjas del Valle, Acuña, Coahuila, Mexico","Instituto Nacional de Migracion Mexico, El Mañana, La Voz, El Nacional Venezuela","29.33773236, -100.94183","US-Mexico border crossing","https://bit.ly/3fGgH0E, https://archive.ph/t5PjT, https://archive.ph/ULOJW, https://archive.ph/3pPTQ","Central America",5
2022.MMP00037,2022.MMP00037,"Central America","Wed, 01/19/2022 - 12:00",2022,January,1,,1,,1,,,"Vehicle accident / death linked to hazardous transport","Colonia Río Bravo, Saltillo, Coahuila, Mexico","GMN Noticias","25.4668438, -100.9914757","US-Mexico border crossing",https://archive.ph/9FNX0,"Central America",1
2022.MMP00038,2022.MMP00038,Mediterranean,"Fri, 01/21/2022 - 12:00",2022,January,,9,9,100,,,,Drowning,"Unspecified location of the coast of Libya - disembarkation of survivors at Mesfat Alzawyia","IOM Libya","32.79818694, 12.72527","Central Mediterranean",,Uncategorized,4
2022.MMP00039,2022.MMP00039,Mediterranean,"Sun, 01/23/2022 - 12:00",2022,January,1,,1,,,,,Drowning,"Remains washed ashore around Al-Shat Road, Al Hinsher, Tripoli, Libya","IOM Libya","32.91014649, 13.24481929","Central Mediterranean",,Uncategorized,4
2022.MMP00040,2022.MMP00040,"North America","Thu, 01/20/2022 - 12:00",2022,January,4,,4,5,2,2,2,"Harsh environmental conditions / lack of adequate shelter, food, water","At the border between Pembinal, North Dakota, USA and Emerson, Manitoba, Canada","External Affairs Minister of India, US Border Patrol, The Guardian","48.99940555, -97.24679064",,"https://archive.ph/CtYjL, https://archive.ph/U3EfH, https://archive.ph/ez1Jh, https://archive.ph/aWDw8, https://archive.ph/go3da","Northern America",5
2022.MMP00041,2022.MMP00041,Mediterranean,"Mon, 01/03/2022 - 12:00",2022,January,1,,1,,,,,Drowning,"Remains washed ashore near port Elketef, Ben Guerdane, Tunisia","Jawhara FM","33.19129295, 11.49095792","Central Mediterranean",https://archive.vn/JKSJb,Uncategorized,1
2022.MMP00042,2022.MMP00042,"Northern Africa","Wed, 01/05/2022 - 12:00",2022,January,2,,2,103,,,,Drowning,"Unspecified location in the Atlantic on the route from Western Africa to the Canary Islands, Spain","US Navy","27.69795472, -16.76125763","Western Africa / Atlantic route to the Canary Islands",https://archive.ph/qyVfz,Uncategorized,5
2022.MMP00043,2022.MMP00043,Mediterranean,"Mon, 01/24/2022 - 12:00",2022,January,7,,7,280,,7,,"Harsh environmental conditions / lack of adequate shelter, food, water","Off the coast of Lampedusa, Italy - departure from Zwara, Libya","IOM Italy, Alarm Phone, Associated Press","35.49863529, 12.57071102","Central Mediterranean","https://archive.ph/PlWVU, https://archive.ph/KTpBB, https://archive.ph/XppBq",Uncategorized,4
2022.MMP00044,2022.MMP00044,"Northern Africa","Tue, 01/25/2022 - 12:00",2022,January,,18,18,9,,,,Drowning,"77km south-east of Lanzarote, Spain - departure from Tarfaya, Morocco","Caminando Fronteras, EFE, Radio Television Canaria","28.55, -12.868333","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/QE9Qn, https://archive.ph/ZwXdc, https://archive.ph/HIpB7",Uncategorized,4
2022.MMP00045,2022.MMP0004548,Caribbean,"Tue, 01/25/2022 - 12:00",2022,January,,35,35,1,,,,Drowning,"At Fort Pierce Inlet, Florida, USA - departure from Bimini, Bahamas on 22 Jan","US Coast Guard","27.472933, -80.28116576","Caribbean to US",https://archive.ph/QDWLS,Uncategorized,5
2022.MMP00045,2022.MMP0004549,Caribbean,"Tue, 01/25/2022 - 12:00",2022,January,,3,3,,,2,,Drowning,"At Fort Pierce Inlet, Florida, USA - departure from Bimini, Bahamas on 22 Jan","Listin Diario","27.472933, -80.28116576","Caribbean to US",https://archive.ph/XXRQz,Uncategorized,3
2022.MMP00045,2022.MMP0004550,Caribbean,"Tue, 01/25/2022 - 12:00",2022,January,,1,1,,1,,,Drowning,"At Fort Pierce Inlet, Florida, USA - departure from Bimini, Bahamas on 22 Jan","The Wall Street Journal","27.472933, -80.28116576","Caribbean to US",https://archive.ph/Kx3IX,Uncategorized,1
2022.MMP00046,2022.MMP00046,Mediterranean,"Sun, 01/23/2022 - 12:00",2022,January,1,,1,,1,,,Drowning,"Remains washed ashore at La Malagueta beach, Malaga, Spain","EFE, Noticias de Navarra, ABCandalucia","36.7158189, -4.411426992","Western Mediterranean","https://archive.ph/DwnnV, https://archive.ph/h5sur",Uncategorized,3
2022.MMP00047,2022.MMP00047,Mediterranean,"Mon, 01/24/2022 - 12:00",2022,January,1,,1,,1,,,Drowning,"Remains washed ashore at Burriana beach, Nerja, Spain","EFE, Noticias de Navarra, Canal Sur","36.74901036, -3.868632603","Western Mediterranean","https://archive.ph/DwnnV, https://archive.ph/wXGfp",Uncategorized,3
2022.MMP00048,2022.MMP00048,Mediterranean,"Sun, 01/16/2022 - 12:00",2022,January,1,,1,,1,,,Drowning,"Remains washed ashore at Cabo Pino beach, east of Marbella, Spain","El Pais","36.48472671, -4.746799679","Western Mediterranean",https://archive.ph/Vvxxp,Uncategorized,1
2022.MMP00049,2022.MMP00049,Mediterranean,"Thu, 01/27/2022 - 12:00",2022,January,6,30,36,34,,,,Drowning,"44 KM Northeast of Zarzis, Tunisia - embarkation from Libya","Tunisian Ministry of Defense, IOM Tunisia","33.78381033, 11.4102882","Central Mediterranean",https://archive.vn/1lIEP,Uncategorized,5
2022.MMP00050,2022.MMP00050,Europe,"Tue, 01/25/2022 - 12:00",2022,January,1,,1,,1,,,"Vehicle accident / death linked to hazardous transport","Remains found at the Calais port rocade, France","La Voix du Nord, France 3","50.96380982, 1.834078038","English Channel to the UK","https://web.archive.org/web/20220128134730/https://www.lavoixdunord.fr/1131808/article/2022-01-25/un-migrant-retrouve-mort-sur-la-rocade-portuaire-calais-une-enquete-ouverte, https://archive.ph/VKSmG","Western Europe",3
2022.MMP00051,2022.MMP00051,"South America","Sun, 01/23/2022 - 12:00",2022,January,1,,1,,,1,,Violence,"Trocha Mi Ranchito,Puerto Santander,Norte de Santander,Colombia","La Opinón","8.366314192, -72.40662219",,"https://archive.ph/B1mAn, https://archive.ph/etmcp","South America",3
2022.MMP00052,2022.MMP00052,"South America","Mon, 01/24/2022 - 12:00",2022,January,1,,1,,,1,,"Harsh environmental conditions / lack of adequate shelter, food, water","Pisiga Carpa Wetlands, Colchane Commune, Tarapacá Region Chile","OAS Secretary General's Commissioner for Venezuelan Migrants and Refugees,24 Horas Chile,El Sol de Iquique","-19.28005209, -68.63484544",,"https://bit.ly/3KRutft, https://archive.ph/6otjw, https://archive.ph/kfNwT","South America",5
2022.MMP00053,2022.MMP00053,"Central America","Sat, 01/22/2022 - 12:00",2022,January,2,,2,6,,,,"Vehicle accident / death linked to hazardous transport","CA 10 Zacapa Guatemala, Guatemala","Instituto Guatemalteco de Migracion,Periodico Cubano, Catorce y Medio","14.95593951, -89.54122575",,"https://archive.ph/XbjSB, https://archive.ph/U5ZRd, https://archive.ph/3J007","Central America",5
2022.MMP00054,2022.MMP00054,Caribbean,"Fri, 01/28/2022 - 12:00",2022,January,,15,15,12,,,,Drowning,"Near Isabela Beach, Puerto Rico, United States of America","EFE, AFP","18.63878486, -67.08567576","Dominican Republic to Puerto Rico","https://archive.ph/YFvhb, https://archive.ph/VHLvP",Caribbean,3
2022.MMP00055,2022.MMP00055,Mediterranean,"Wed, 01/26/2022 - 12:00",2022,January,1,,1,,,,,Drowning,"Remains washed ashore in Garabulli (Castelverde), Libya","IOM Libya","32.79329993, 13.74138609","Central Mediterranean",,Uncategorized,4
2022.MMP00056,2022.MMP00056,Mediterranean,"Thu, 01/27/2022 - 12:00",2022,January,1,,1,,,,,Drowning,"Remains washed ashore in Garabulli (Castelverde), Libya","IOM Libya","32.79329993, 13.74138609","Central Mediterranean",,Uncategorized,4
2022.MMP00057,2022.MMP0005763,Mediterranean,"Fri, 01/28/2022 - 12:00",2022,January,2,26,28,6,,,,Drowning,"Unspecified location off the coast of Libya - disembarkation of survivors at Mesfat Alzawyia, embarkation from Zuwara on 26 Jan at 0100","IOM Libya","32.79249375, 12.67770508","Central Mediterranean",,Uncategorized,4
2022.MMP00058,2022.MMP0005864,Mediterranean,"Fri, 01/28/2022 - 12:00",2022,January,,3,3,,,,,Drowning,"Unspecified location off the coast of Libya - disembarkation of survivors at Mesfat Alzawyia, embarkation from Zuwara on 26 Jan at 0100","IOM Libya","32.79249375, 12.67770508","Central Mediterranean",,Uncategorized,4
2022.MMP00059,2022.MMP00059,Mediterranean,"Fri, 01/28/2022 - 12:00",2022,January,1,,1,,1,,,Drowning,"Remains washed ashore Qasr Al-Akhyar, Libya","IOM Libya","32.78139351, 13.8601055","Central Mediterranean",https://archive.vn/ZEg7Q,Uncategorized,4
2022.MMP00060,2022.MMP00060,Mediterranean,"Fri, 01/28/2022 - 12:00",2022,January,2,,2,,,2,,Drowning,"Remains washed ashore at Alzawyia - Jadda'im, Libya","IOM Libya","32.79545424, 12.78157343","Central Mediterranean",,Uncategorized,4
2022.MMP00061,2022.MMP00061,Mediterranean,"Mon, 01/31/2022 - 12:00",2022,January,,1,1,2,,1,,Drowning,"Off the coast of Çeşme, Izmir, Turkey","Turkish Coast Guard, IOM Turkey, Daily Sabah","38.40871794, 26.25946236","Eastern Mediterranean","https://archive.ph/qAtzN, https://archive.ph/eOtnO, https://archive.ph/9xYV0",Uncategorized,5
2022.MMP00062,2022.MMP00062,Mediterranean,"Wed, 01/19/2022 - 12:00",2022,January,1,,1,,,1,,"Sickness / lack of access to adequate healthcare","In a hospital in Ayvalık, Balıkesir, Turkey","Turkish Coast Guard, IOM Turkey","39.32067586, 26.70845086","Eastern Mediterranean",,"Western Asia",5
2022.MMP00063,2022.MMP00063,Mediterranean,"Sun, 01/30/2022 - 12:00",2022,January,1,,1,,,,,Drowning,"Remains washed ashore Al Haniyah, Jebel el-Akhdar, Libya","Migrant Rescue Watch via IOM Libya","32.88625199, 21.52221671","Central Mediterranean",,Uncategorized,4
2022.MMP00064,2022.MMP0006471,"Northern Africa","Mon, 01/24/2022 - 12:00",2022,January,3,,3,,,,3,"Harsh environmental conditions / lack of adequate shelter, food, water","In a plastic shelter in the migrants camp in Gourougou forest Northwest Cimetière Sidi Salem, Nador, Morocco","AMDH, InfoMigrants","35.21131953, -2.986303099",,"https://archive.vn/niZQl, https://archive.vn/DdSB0","Northern Africa",4
2022.MMP00064,2022.MMP0006472,"Northern Africa","Sun, 01/30/2022 - 12:00",2022,January,1,,1,,1,,,"Harsh environmental conditions / lack of adequate shelter, food, water","In Hôpital El Hassani, Nador, Morocco","AMDH, Nador City","35.17617641, -2.935177231",,"https://archive.vn/SK5rS, https://archive.vn/EnfXe","Northern Africa",4
2022.MMP00065,2022.MMP0006573,"Western Asia","Wed, 02/02/2022 - 12:00",2022,February,13,,13,3,,13,,"Harsh environmental conditions / lack of adequate shelter, food, water","Bodies found in multiple locations near Paşaköy village, Ipsala district, Edirne, Turkey","Survivor testimonies, Ipsala Gendarmerie and Provincial Presidency for Migration Management, Turkish Minister of the Interior via Twitter, T.C.  EDİRNE VALİLİĞİ, IOM Turkey","40.859587, 26.297187","Turkey-Europe land route","https://archive.ph/E84jX, https://archive.ph/vU2Gp, https://archive.ph/QrWNL","Western Asia",5
2022.MMP00065,2022.MMP0006574,"Western Asia","Wed, 02/02/2022 - 12:00",2022,February,5,,5,,,5,,"Harsh environmental conditions / lack of adequate shelter, food, water","Bodies found in multiple locations near Paşaköy village, Ipsala district, Edirne, Turkey","Survivor testimonies, Ipsala Gendarmerie and Provincial Presidency for Migration Management, Turkish Minister of the Interior via Twitter, T.C.  EDİRNE VALİLİĞİ, IOM Turkey, Daily Sabah","40.859587, 26.297187","Turkey-Europe land route","https://archive.ph/E84jX, https://archive.ph/vU2Gp, https://archive.ph/QrWNL, https://archive.ph/sgxMN","Western Asia",5
2022.MMP00065,2022.MMP0006575,"Western Asia","Wed, 02/02/2022 - 12:00",2022,February,1,,1,,,1,,"Harsh environmental conditions / lack of adequate shelter, food, water","Bodies found in multiple locations near Paşaköy village, Ipsala district, Edirne, Turkey","Survivor testimonies, Ipsala Gendarmerie and Provincial Presidency for Migration Management, Turkish Minister of the Interior via Twitter, T.C.  EDİRNE VALİLİĞİ, IOM Turkey","40.859587, 26.297187","Turkey-Europe land route","https://archive.ph/E84jX, https://archive.ph/vU2Gp, https://archive.ph/QrWNL","Western Asia",5
2022.MMP00066,2022.MMP00066,"South-eastern Asia","Fri, 01/14/2022 - 12:00",2022,January,4,,4,14,,,,Drowning,"Unspecified location off Ketapang Beach, Rupat Island, Indonesia","IOM Indonesia, Detik News, Kumparan News, Suarariau.id, Antarariau, RiauPos.co","2.023621734, 101.9179966",,"https://archive.ph/94LTD, https://archive.ph/NnpMx, https://archive.ph/CHBxr, https://archive.vn/WkvyE, https://archive.ph/c2vEZ, https://archive.ph/lXup9, https://archive.ph/drW3S","South-eastern Asia",4
2022.MMP00067,2022.MMP00067,"Northern Africa","Wed, 02/02/2022 - 12:00",2022,February,1,16,17,41,,,,Drowning,"35 km south of Morro Jable, Fuerteventura, Canary Islands, Spain","1-1-2 Canarias via Twitter, EFE, AFP, Diario de Fuerteventura","27.75151922, -14.28695059","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/UZpfG, https://archive.ph/OFbpN, https://archive.ph/HwNBF, https://archive.ph/yt3Sp",Uncategorized,5
2022.MMP00068,2022.MMP00068,Europe,"Tue, 02/01/2022 - 12:00",2022,February,1,,1,,,1,,"Vehicle accident / death linked to hazardous transport","Train tracks near Latte, Italy near border with France","Infomigrants, AnsaMed","43.79248332, 7.581905364","Italy to France","https://archive.ph/CqVIg, https://archive.ph/gYflG","Southern Europe",3
2022.MMP00069,2022.MMP00069,Mediterranean,"Fri, 02/04/2022 - 12:00",2022,February,1,,1,,,1,,Drowning,"Remains washed ashore near Almaya port, Libya","IOM Libya","32.81201076, 12.90201698","Central Mediterranean",,Uncategorized,4
2022.MMP00070,2022.MMP00070,Europe,"Sun, 01/02/2022 - 12:00",2022,January,1,,1,,,1,,"Harsh environmental conditions / lack of adequate shelter, food, water","Remains found in mountain pass in the Alps, near Barrage del Freney, near the municipality of Modane, Savoie, Auvergne-Rhône-Alpes, France","Medici per i diritti humani, La Reppublica, La Nazione","45.190299, 6.628727","Italy to France","https://archive.ph/IXlMK, https://archive.ph/zgFB9, https://archive.ph/egXAE","Western Europe",4
